Address,Colocation
1.0.0.,LAX
103.21.244.,IST
104.16.0.,LAX
104.16.1.,LAX
104.16.2.,LAX
104.16.3.,LAX
104.16.4.,LAX
104.16.5.,LAX
104.16.6.,LAX
104.16.8.,LAX
104.16.9.,LAX
104.16.10.,LAX
104.16.11.,LAX
104.16.12.,LAX
104.16.13.,LAX
104.16.14.,LAX
104.16.15.,LAX
104.16.16.,LAX
104.16.17.,LAX
104.16.18.,LAX
104.16.19.,LAX
104.16.20.,LAX
104.16.21.,LAX
104.16.22.,LAX
104.16.23.,LAX
104.16.24.,LAX
104.16.25.,LAX
104.16.26.,LAX
104.16.27.,LAX
104.16.28.,LAX
104.16.29.,LAX
104.16.30.,LAX
104.16.31.,LAX
104.16.32.,SJC
104.16.33.,SJC
104.16.34.,SJC
104.16.35.,SJC
104.16.36.,SJC
104.16.37.,SJC
104.16.38.,SJC
104.16.39.,SJC
104.16.40.,SJC
104.16.41.,SJC
104.16.42.,SJC
104.16.43.,SJC
104.16.44.,SJC
104.16.45.,SJC
104.16.46.,SJC
104.16.47.,SJC
104.16.48.,SJC
104.16.49.,SJC
104.16.50.,SJC
104.16.51.,SJC
104.16.52.,SJC
104.16.53.,SJC
104.16.54.,SJC
104.16.55.,SJC
104.16.56.,SJC
104.16.57.,SJC
104.16.58.,SJC
104.16.59.,SJC
104.16.60.,SJC
104.16.61.,SJC
104.16.62.,SJC
104.16.63.,SJC
104.16.64.,LAX
104.16.65.,LAX
104.16.66.,LAX
104.16.67.,LAX
104.16.68.,LAX
104.16.69.,LAX
104.16.70.,LAX
104.16.71.,LAX
104.16.72.,LAX
104.16.73.,LAX
104.16.74.,LAX
104.16.75.,LAX
104.16.76.,LAX
104.16.77.,LAX
104.16.78.,LAX
104.16.79.,LAX
104.16.80.,LAX
104.16.81.,LAX
104.16.82.,LAX
104.16.83.,LAX
104.16.84.,LAX
104.16.85.,LAX
104.16.86.,LAX
104.16.87.,LAX
104.16.88.,LAX
104.16.89.,LAX
